coupon_code,description,discount_type,discount_value,min_cart_value,applicable_categories,max_discount_amount,start_date,end_date,is_active
WELCOME10,10% off for all users,PERCENT,10,500,ALL,250,2025-01-01,2025-12-31,TRUE
SAVE50,Flat ₹50 off on any cart above ₹300,FLAT,50,300,ALL,50,2025-01-01,2025-12-31,TRUE
ELEC150,Flat ₹150 off on electronics above ₹1200,FLAT,150,1200,ELECTRONICS,150,2025-02-01,2025-12-31,TRUE
ELEC20,20% off on electronics,PERCENT,20,2000,ELECTRONICS,400,2025-01-15,2025-12-31,TRUE
GROC5,5% off on grocery,PERCENT,5,300,GROCERY,150,2025-01-01,2025-06-30,TRUE
GROC100,Flat ₹100 off when grocery purchase > ₹1000,FLAT,100,1000,GROCERY,100,2025-01-01,2025-12-31,TRUE
APPAREL25,25% off on apparel,PERCENT,25,1500,APPAREL,500,2025-02-01,2025-12-31,TRUE
APPAREL100,Flat ₹100 off on apparel,FLAT,100,800,APPAREL,100,2025-01-01,2025-12-31,TRUE
CARE15,15% off on personal care,PERCENT,15,400,PERSONAL_CARE,200,2025-01-01,2025-12-31,TRUE
HOME10,10% off on home products,PERCENT,10,200,HOME,150,2025-01-10,2025-12-31,TRUE
BIGSAVE300,Flat ₹300 off on cart above ₹2500,FLAT,300,2500,ALL,300,2025-03-01,2025-12-31,TRUE
OLD_OFFER,Expired: 20% off on all,PERCENT,20,500,ALL,350,2024-01-01,2024-12-31,FALSE
