product_id,name,category,price
P001,Wireless Mouse,ELECTRONICS,799
P002,Mechanical Keyboard,ELECTRONICS,2299
P003,USB-C Charger 25W,ELECTRONICS,999
P004,Bluetooth Earbuds,ELECTRONICS,1599
P005,HDMI Cable 1.5m,ELECTRONICS,349
P006,Smart LED Bulb,ELECTRONICS,499
P007,Basmati Rice 5kg,GROCERY,540
P008,Cooking Oil 1L,GROCERY,155
P009,Wheat Flour 5kg,GROCERY,225
P010,Sugar 1kg,GROCERY,48
P011,Masala Powder,GROCERY,72
P012,Green Tea Pack,GROCERY,160
P013,Instant Noodles 6 Pack,GROCERY,95
P014,Corn Flakes 500g,GROCERY,210
P015,Cotton T-Shirt,APPAREL,399
P016,Denim Jeans,APPAREL,1299
P017,Hoodie Sweatshirt,APPAREL,899
P018,Sports Shoes,APPAREL,2499
P019,Track Pants,APPAREL,699
P020,Formal Shirt,APPAREL,899
P021,Shampoo 650ml,PERSONAL_CARE,299
P022,Face Wash 150ml,PERSONAL_CARE,199
P023,Toothpaste Twin Pack,PERSONAL_CARE,120
P024,Lip Balm,PERSONAL_CARE,85
P025,Body Lotion 400ml,PERSONAL_CARE,330
P026,Hair Oil 200ml,PERSONAL_CARE,110
P027,Notebook 200 Pages,STATIONERY,89
P028,Pen Pack of 5,STATIONERY,75
P029,Highlighter Pack,STATIONERY,120
P030,Sticky Notes 4 Pack,STATIONERY,60
P031,A4 Printer Paper 500 Sheets,STATIONERY,350
P032,Glue Stick,STATIONERY,40
P033,Dog Food 2kg,PET_SUPPLIES,520
P034,Cat Litter 5kg,PET_SUPPLIES,340
P035,Dog Shampoo,PET_SUPPLIES,260
P036,Cat Treats,PET_SUPPLIES,180
P037,Portable Water Bottle,HOME,160
P038,Steel Lunch Box,HOME,350
P039,Bathroom Cleaner 1L,HOME,199
P040,Laundry Liquid 1L,HOME,225
